site_ID,source,overlap,estimate_Ts,year_removed,NEE,FC,TA,TS,TS_more,SWC,SWC_more,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use
US-MtB,AmeriFlux_BASE,,NO,2009:2012,FC,FC,TA_1_1_1,TS_1_1_1,,SWC_1_1_1,,SW_IN,USTAR,RH_1_1_1,,,,,NO
US-LL1,AmeriFlux_BASE,,NO,,NEE_PI,FC,TA,TS_1_1_1,,SWC,,SW_IN,USTAR,RH,,ac$NEE[is.na(a$FC)] <- NA,66,180,YES
US-BZB,AmeriFlux_FLUXNET,,NO,"2013, 2022",FC,FC,TA_PI_F,TS_PI_1,,SWC_PI_1,,SW_IN,USTAR,RH,,,,,NO
US-BZF,AmeriFlux_FLUXNET,,NO,"2013, 2022",FC,FC,TA_PI_F,TS_PI_1,,SWC_PI_1,,SW_IN,USTAR,RH,,,,,NO
US-KL2,AmeriFlux_BASE,,NO,,FC,,TA_PI_F,TS_1_1_1,,SWC,,SW_IN,USTAR,RH,,,,,YES
US-Ro4,AmeriFlux_FLUXNET,,NO,,FC + SC,,TA,TS_1_1_1,,SWC,,SW_IN,USTAR,RH,,,,,NO
US-KM4,AmeriFlux_BASE,,NO,2011,FC,,TA_PI_F,TS_1_1_1,,SWC,,SW_IN,USTAR,RH,,use more SW_IN_PI_F,,,YES
US-MBP,AmeriFlux_BASE,,NO,"2011, 2022",FC,,TA,TS_1_1_1,,,,PPFD_IN,USTAR,RH,,,,,NO
US-Myb,AmeriFlux_FLUXNET,,NO,"2010, 2011",FC,,TA,TS_PI_1,,,,PPFD_IN_1_1_1,USTAR,RH,,"# only use part of the data; a <- a[17521:245424,]",,,NO
US-NC4,AmeriFlux_FLUXNET,,NO,"2012, 2013, 2020",NEE_PI_1_1_1,FC_1_1_1,TA_1_1_1,TS_1_2_1,,SWC_1_1_1,,PPFD_IN_1_1_1,USTAR,RH,,ac$NEE[is.na(a$FC_1_1_1)] <- NA,,,NO
US-Tw1,AmeriFlux_FLUXNET,,NO,2012,FC,FC,TA,TS_PI_1,,,,SW_IN,USTAR,RH,,,,,NO
US-Ced,AmeriFlux_BASE,,YES,,FC + SC,FC,TA,TS_1,,,,SW_IN,USTAR,RH,,,,,NO
US-Oho,AmeriFlux_FLUXNET,,NO,,FC + SC,,TA_1_1_1,TS_1_1_1,,SWC,,SW_IN,USTAR,RH_1_1_1,,,,,NO
US-Slt,AmeriFlux_BASE,,NO,,FC + SC,,TA,TS_1,,SWC_1,,SW_IN,USTAR,RH,,,,,NO
US-Wrc,AmeriFlux_BASE,,NO,"1998:2000, 2002:2003, 2005:2007, 2009",FC,FC,TA,TS_1,,SWC_1,,SW_IN,USTAR,RH,,,90,270,NO
AU-Tum,FLUXNET2015,,NO,"2004, 2012",,,,,,,,,,,,,,380,YES
BE-Bra,FLUXNET2020_ICOS2020,"bind_rows(a_2020[1:420768,], a_after2020)",NO,"2003:2006, 2008, 2013, 2017, 2019, 2020",,,,,,,,,,,,,,,NO
BE-Vie,FLUXNET2020_ICOS2020,"bind_rows(a_2020, a_after2020[17569:nrow(a_after2020), ])",NO,"1996, 2006, 2009, 2021",,,,,,,,,,,,,,,YES
CH-Lae,FLUXNET2020,,NO,"2004, 2009, 2011",,,,,,,,,,,,,,,YES
CZ-BK1,FLUXNET2020_ICOS2020,,NO,"2005, 2019, 2020:2022",,,,,,,,,,,,,91,,YES
CZ-wet,FLUXNET2020,,NO,"2006, 2010, 2014",,,,,,,,,,,,,,,NO
DE-Gri,FLUXNET2020,,NO,,,,,,,,,,,,,,,,NO
DE-Hai,FLUXNET2020,,NO,"2003, 2016, 2020",,,,,,,,,,,,,,,YES
DE-Tha,FLUXNET2020_ICOS2020,"bind_rows(a_2020, a_after2020[17568:nrow(a_after2020), ])",NO,"1996, 2002, 2020",,,,,,,,,,,,,,,YES
DK-Sor,FLUXNET2020_ICOS2020,,NO,"1996, 2004, 2006, 2011, 2017, 2018, 2021",,,,,,,,,,,,,,,YES
FI-Hyy,FLUXNET2020_ICOS2020,,NO,"1996, 1997, 2005, 2020",,,,,,,,,,,,,,,YES
FI-Sod,FLUXNET2015,,NO,"2002, 2003, 2007, 2010",,,,,,,,,,,,,,,YES
FR-Pue,FLUXNET2015,,NO,"2000:2003, 2005, 2012, 2013:2014",,,,,,,,,,,,,,,YES
IT-Lav,FLUXNET2020,,NO,"2003, 2013, 2019",,,,,,,,,,,,,21,,YES
IT-MBo,FLUXNET2020_ICOS2020,,NO,"2003, 2014, 2019:2022",,,,,,,,,,,,,,,YES
