"siteID","year","RMSE_window","Rsquared_window","RMSE_base","Rsquared_base","RMSE_water","Rsquared_water","RMSE_gpp","Rsquared_gpp","RMSE_water_gpp","Rsquared_water_gpp","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"ZA-Kru",2003,1.90531702523872,0.00283460595150054,1.89367017281393,0.000101824734372963,1.86793289924663,0.0262978146269306,1.8301836498321,0.0658164338336326,1.78747414576625,0.109125692592084,1.80380113957289,0.0928672423449425,1.82873022698001,0.0666192496412119,1.87201112733327,0.021689675470344,1.87932737306583,0.0145388953983913,1.83369129979462,0.0640223044133297,1.844778476626,0.0522833963718505,1.85361764193046,0.0435426806918539,1.86142374300475,0.0351714156285299,1.87237007842476,0.0218601313337315
"ZA-Kru",2011,1.79540160235935,0.374598508963417,2.29773419160769,0.0185832419120908,2.15734035643692,0.117152010718381,1.85562060518178,0.333933418321117,1.83010204805898,0.350898539788848,1.81904224271518,0.358141786844484,1.87583852439397,0.317457825451568,1.93971505342784,0.270024207942543,1.96810816133485,0.248280214059376,1.77074023566204,0.391315982604924,1.78650356297188,0.380513209481846,1.83189650648062,0.348550950992536,1.9166613624091,0.286800377905046,1.97261284902855,0.244539970932007
"IT-Tor",2021,2.81534102102508,0.0864471312845834,2.87258130239382,0.0332114624261682,2.87894081618631,0.0282187134331759,2.8747664491961,0.0322880781580709,2.8794584169109,0.0280475039825922,2.87673034354314,0.030237985322901,2.87055067767981,0.0351351433240883,2.87686359396616,0.0308790491811468,2.87328501573857,0.0338253823294667,2.89168044597661,0.0199628450117081,2.8941841959135,0.0184883989589583,2.89563251745056,0.0174589427896218,2.89662323249598,0.0170255649442046,2.89610686609187,0.0173067018135654
"IT-Tor",2014,4.57813768326032,0.00354952525449946,4.59464313473137,0.0122030485810124,4.61217712362003,0.00944939112059605,4.58904516959854,0.00982558415356735,4.60940596371001,0.0080110472637568,4.56411371784204,0.0180957324944549,4.62668021285431,0.00296235986151011,4.59458171091811,0.00632351905433061,4.56813372479599,0.0117573153284173,4.59776446325976,0.01175387938368,4.52313255330465,0.0345088338680233,4.58267281836473,0.014103486113977,4.56030965606717,0.0169927987137436,4.53475423382578,0.0226545761325087
"BE-Dor",2016,2.32169820952833,0.388927948059528,2.48937737957533,0.305508341133645,2.51606103695725,0.284780544959842,2.4100700265976,0.343893508800197,2.42512325053858,0.33380283129875,2.39813265539164,0.347761002902462,2.42745250358128,0.331400456951322,2.45281670049492,0.317609457156564,2.46897458924701,0.30872299072367,2.44184748563389,0.324885298379651,2.44433154969426,0.323015890728927,2.45151307272312,0.318555710033731,2.44936727089197,0.319580775996376,2.46308783699915,0.312045177272109
"BE-Dor",2013,1.49615220535724,0.749265914568345,1.6462435818838,0.696554415594304,1.62994939936279,0.702813804180341,1.64598935104444,0.69668978886104,1.62839640338352,0.703360268741614,1.6311600534662,0.702359068626667,1.62840023647467,0.703374938988191,1.62424551547129,0.704872968381456,1.61946848518068,0.706576353696302,1.61144379771436,0.709659903193904,1.61729194059866,0.707547604709848,1.61230055619475,0.709356941278528,1.60438971127016,0.712240112609902,1.59355951645567,0.716121660059738
"CH-Fru",2017,2.92770180940078,0.414954533308394,2.81619394916414,0.457162745864375,2.80697923002872,0.46068237476005,2.79428928688704,0.465825937221582,2.78212949154637,0.470733461000571,2.78317828383876,0.470166402639879,2.78114505672859,0.470897703283382,2.78254395432039,0.470457949662723,2.76439335613156,0.478071271800641,2.7897117145808,0.467313985706303,2.78446173656482,0.469334670655544,2.78458491180638,0.469273755104993,2.78881882123637,0.46766593772839,2.77756633953537,0.472225172347219
"CH-Fru",2012,4.07812421347518,0.100847192310841,3.97130847153246,0.149216984227104,3.98029782178817,0.145572685835004,3.88149077582038,0.185565603715229,3.87957776536725,0.186327904398902,3.88666973418628,0.183334831708753,3.86001839612173,0.194457892437048,3.87231196457881,0.189315390593071,3.90509991672162,0.175533201456569,3.87336343141225,0.188947217099718,3.88492825402463,0.184147035207416,3.88105780907621,0.1857084961824,3.90762887187749,0.174541130271432,3.91362921744817,0.171959888310504
"CZ-Stn",2020,3.02170833379228,0.0512157550557168,3.17030205624521,0.00725106130213563,3.13995319722089,0.00427978037878609,3.16770221799595,0.000133503799504314,3.14425609739242,0.00243927989979796,3.13938033270734,0.00419069234050627,3.1384952828182,0.00422025702168176,3.13913248272349,0.00391980640800016,3.13076038740827,0.00586470965385253,3.13716627684929,0.00634794147425108,3.12066251259789,0.0124426826603325,3.10545490946848,0.0179033586441105,3.07966885659657,0.0277760124606765,3.10506816644023,0.0153759350895713
"CZ-Stn",2019,2.36412380544205,0.120194713690314,2.43976387028914,0.0632357296929633,2.41135101970979,0.08467761253438,2.44270837820241,0.0607992695867431,2.41579605150337,0.0814495176054143,2.41502702012683,0.0819732164479455,2.41445806473043,0.0824614657511853,2.4130660935397,0.0834223127099861,2.40737742913547,0.087704785925775,2.40649802309561,0.088848687982005,2.41180991550491,0.0846437116555272,2.41290964786792,0.0838701425477518,2.41284046547188,0.0836521782990936,2.40779251864142,0.0875365267250959
"DE-Obe",2015,1.93947361494578,0.448604106753071,2.06112289658372,0.377147760641026,2.026233995975,0.399307811699411,2.05253536829967,0.382059089778773,2.02437009840875,0.400027845899405,2.02040442202027,0.401982582961457,2.0122178589856,0.406418624452315,2.00066122646267,0.413272966020713,1.97234761845384,0.429741773885386,2.00704890760424,0.409823937172238,1.98140367936624,0.424449077259566,1.94922856580803,0.442937535681588,1.92809870912065,0.454909219538341,1.90981575724604,0.4651437913717
"DE-Obe",2011,2.22440377854401,0.33525414912973,2.13877455922596,0.386511302212269,2.14239645904692,0.38429690745133,2.13589641806023,0.388327754413429,2.1407495798606,0.385577408199897,2.1442535280815,0.38327026245004,2.14432995149979,0.38321998506862,2.14403170503838,0.383382734326428,2.14427637941037,0.383193364354424,2.13492364551253,0.389081560304427,2.14279654644286,0.384103787454531,2.14376457729696,0.383522254223636,2.14354548062609,0.383668351794689,2.14092301283264,0.385260406786559
