site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-192.6207748,-736.5534224,543.9326476,9.342187458,10.17544123,0.784144302,7.468774826,0.36699535,0.658590351,2.403910765,1.457332049,87.33921272,0.019448786,0.066746029,0.050434639,9.10E-06,3.506959534,3.276996374,2.664468908,2.054578733,1.687179565,1.7924541,2.211648178,2.442710543,2.147838926,1.900512838,2.255604362,2.90146513,0.818967412,1.968416648,1.687152796,5.056847591,5.893747378,6.090347227
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-547.8418281,-996.825181,448.983353,9.19332656,10.12005276,0.78360179,7.754000587,0.340775012,0.619047329,2.205274761,1.475515873,87.1240342,0.011139761,0.246220685,0.036826398,0.00019436,3.548205137,3.250696039,2.709523869,2.010842443,1.689450526,1.750842524,2.242344284,2.462197542,2.137362432,1.861391997,2.280293083,2.880366373,0.828511578,1.990051411,1.685875319,4.336542091,5.183909606,5.28218464
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,-2.647120468,-227.2297258,224.5826053,-1.18050736,14.66715171,1.294389055,9.768866138,0.189257877,0.453116642,1.008835988,0.723940764,177.3009249,0.042621692,0.005411276,0.035642802,0.008842225,2.049964046,4.766081333,3.174578285,3.754505301,3.350109911,3.204395723,2.815384865,2.918901205,2.304029369,2.954651976,4.253333092,3.807325602,0.710079247,2.328661143,2.256720264,2.260959044,2.797866622,3.08034758
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-181.7210075,-317.2944729,135.5734654,3.168149451,10.02317773,0.738260629,9.020263575,0.198464359,0.433229477,0.881869438,0.752706148,70.65000153,-0.044716287,0.003389928,0.016572773,0.382628527,0.919706845,2.509670305,3.246007395,2.445640945,2.584029245,2.281684828,2.231941795,2.700000143,2.593333292,2.583882761,3.016556835,2.862710714,0.810634077,2.024907526,2.13624998,2.578564286,3.09702544,2.814872447
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1083.818877,710.0608591,8.065500196,6.161815897,0.45007738,5.357712276,0.367616227,0.761267813,2.140919438,1.369223569,114.8103363,0.022781907,0.042790578,0.034687119,0.004924546,1.171501827,2.294432211,1.968498158,2.122710609,2.012014699,2.065494442,1.967619133,2.287838793,1.87648344,1.942710686,2.179413891,1.869597077,0.615413029,1.218431381,1.26993274,5.629970308,6.491489721,6.682041367
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-113.4663209,-453.8777994,340.4114785,3.579075587,12.38930135,1.060415327,9.19250709,0.291918607,0.565476151,1.717918042,1.019259642,77.94115998,0.003542518,0.862023164,0.039106395,0.040366595,3.340146923,3.865494823,3.21010952,2.683662939,2.2080585,2.036336875,2.288644791,2.520879412,2.059780264,2.652234364,2.642637157,4.013553524,0.70962135,1.982299986,1.613285695,4.631244154,5.243322889,5.273374761
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,-55.93100155,-316.8042681,260.8732665,1.208714947,12.99762114,1.098797828,8.735291964,0.210746177,0.489060244,1.030377748,0.802898119,115.2532966,-0.027495508,0.127317079,-0.055997955,0.000624058,1.020366442,4.349231052,3.527618933,3.242270994,3.242417574,2.674432468,2.584175491,3.171281958,2.503516436,3.141611767,3.159707069,3.048644829,0.399210584,1.186496271,1.150979558,4.521389233,5.016806554,4.86052676
CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,-38.11573117,-234.6029708,196.4872397,1.422205855,13.13987085,0.967887007,9.271413647,0.220409053,0.49316232,1.126613511,0.771493625,67.24505414,-0.015764886,0.120078529,0.013265071,0.324643489,1.102564669,4.277729511,3.513992405,3.160586119,3.269377279,2.678754568,2.654798126,3.058827829,2.420512819,3.145274687,3.141025162,3.068497896,0.630480209,1.864747203,1.793141529,2.80389426,3.390829806,3.296317711
US-Jo2,32.5849,-106.6032,1469,OSH,Bwk,282.3,-175.5459749,-245.8669089,70.32093403,17.62175015,8.214978581,0.441738431,12.31112416,0.112837485,0.171254279,0.21498891,0.215734894,9,-0.066013073,0.024644833,0.011984012,0.551163444,0.740219796,0.940366316,0.311941361,0.57875464,1.268571496,0.980659091,1.263003922,1.278388166,1.567692327,1.740879059,1.061098909,1.030256402,1.408307292,1.497715029,1.606829073,0.525341253,0.537743293,0.483624883
US-MtB,32.416,-110.7256,2573,ENF,Csb,790,-509.163275,-742.9229988,233.7597238,9.842771843,6.890193328,0.411235262,5.565165781,0.286181942,0.540026465,1.478628417,0.710326835,5,-0.048456609,0.001780181,-0.020339996,0.179747743,0.608131874,0.969523811,0.217728925,0.40842489,1.100952363,0.848205149,1.220585823,1.54432261,1.612454295,1.965640855,0.885567808,0.879926741,1.037484708,1.060090215,1.114881778,1.836103678,1.903031437,1.80295091
US-LL1,31.2792,-84.5329,165,SAV,Cfa,1310,-203.9650578,-874.3477007,670.3826429,19.41596748,6.815460414,0.63693578,10.01652579,0.370377385,0.699037712,1.878460077,1.563649503,20,-0.007598817,0.412622985,0.011089883,0.171960337,1.580219841,1.179853392,1.396410179,1.00073278,1.50659256,1.252527571,1.704176331,1.442636991,1.773699355,1.517875457,2.462491131,1.501465297,0.938394833,1.432512957,1.20789407,4.243484504,4.629913361,4.587611827
US-BZB,64.6955,-148.3208,100,WET,Dfd,274,25.04507779,-147.606625,172.6517028,-1.539408274,14.93382051,1.591506004,13.04604046,0.173610722,0.360845194,0.643543462,0.669770631,78,0.027884529,0.467345113,0.078088762,0.092900781,3.016556787,1.043663239,3.517362595,1.937582541,1.599194193,1.712894034,2.110915565,2.257655716,1.988717961,0.945933998,3.168498802,2.342564011,0.46447221,0.992481873,0.918825656,3.00466172,3.145321523,3.226949096
US-BZF,64.7013,-148.3121,95,WET,Dfd,274,41.21709943,-154.7445154,195.9616148,-1.183985256,14.8273452,1.564425398,12.0930751,0.195722752,0.389992774,0.851519518,0.752174907,91,-0.061641373,0.381807413,-0.021639277,0.762474663,3.016556787,1.043663239,3.517362595,1.937582541,1.599194193,1.712894034,2.110915565,2.257655716,1.988717961,0.945933998,3.168498802,2.342564011,0.49655028,1.061026132,1.040962817,4.513392546,4.868021564,4.565468913
US-KL2,42.4768,-85.4468,258.3,GRA,Dfa,1027,-263.1196683,-650.348139,387.2284707,9.320215088,10.52969109,0.880711625,10.20397413,0.260549767,0.462824752,1.095055957,1.109078928,29,0.006427181,0.724742999,0.02256929,0.262129685,3.051355219,3.167765474,2.563150167,1.632014608,1.363516474,1.594871783,2.22725296,2.421904612,2.017289066,2.043296862,2.090915632,2.527985144,0.921068194,2.049477895,1.880348612,4.368223641,4.893778068,4.953279869
US-Ro4,44.6781,-93.0723,274,GRA,Dfa,879,-293.9898576,-568.9146361,274.9247784,7.601755691,11.9786687,1.495797157,11.51007716,0.258736246,0.412654827,1.057472189,0.95768717,87,0.004042602,0.783589975,-0.01553485,0.263931896,2.264468575,4.330769348,3.002490997,1.816703224,1.905640697,1.680879378,2.1746521,2.776703072,2.063589573,2.244615364,1.462857175,2.251575184,0.717290013,1.672179036,1.638039134,5.207538554,6.026200333,6.066237893
US-KM4,42.4423,-85.3301,246.3,GRA,Dfa,1027,-6.013849094,-527.2991009,521.2852518,9.198884433,10.44266836,0.969532712,10.70435516,0.297590963,0.480400747,1.200179167,1.118328526,370,0.004353031,0.78835615,0.019475444,0.195971637,3.0130404,3.140219545,2.53897438,1.576923108,1.341611505,1.599120831,2.242344284,2.452234459,2.056043863,2.035530972,2.003223372,2.443003511,0.685344518,1.510172079,1.182806309,6.333858363,7.001829976,7.037973918
US-MBP,47.5051,-93.4893,416,WET,Dfb,780,-235.3531787,-301.1511057,65.79792695,4.245124638,12.55251,1.240341758,11.37204774,0.284089004,0.50153169,1.874804349,1.135360107,29,0.037676375,0.139036298,0.041604435,0.169900304,2.340659094,4.7994874,3.332967234,2.462490845,2.895091581,2.484762144,2.845274925,3.3139925,2.061172295,2.871868134,1.839047575,2.797142649,0.491611521,1.394700099,1.329524153,1.620187533,1.892159152,1.989354542
US-Myb,38.0499,-121.765,-4,WET,Csa,338,-345.4191716,-730.62308,385.2039084,15.52827012,5.341119043,0.545486702,10.32626129,0.344865318,0.571750549,1.545986834,1.632380504,29,-0.001893797,0.964693124,0.021561922,0.655222733,1.150036621,1.520732594,0.943882895,0.819633734,0.947692251,0.900952268,1.289230919,1.555457568,1.769084311,1.863809657,1.38974371,0.826080644,0.513290146,0.640600525,0.697596772,3.048887322,3.212467714,3.208226503
US-NC4,35.7879,-75.9038,1,WET,Cfa,1311,44.3801798,-771.2645314,815.6447112,17.03805014,7.827075402,0.64665654,7.710634506,0.355342464,0.712813163,2.150375785,1.945448321,250,0.08620775,0.000294441,0.083438152,0.000706575,1.608058548,1.394652057,1.590989089,1.049597263,0.798461449,0.775970066,1.537947845,1.22190485,1.576629639,1.200512624,2.233040428,1.666300344,0.637126421,0.884228693,0.772408132,6.748082663,6.902441159,7.377705682
US-Tw1,38.1074,-121.6469,-5,WET,Csa,421,-293.5906741,-813.6846906,520.0940165,14.97899791,5.749033788,0.784274591,13.83150879,0.289151882,0.503075661,0.799678856,1.184036319,231,0.019643913,0.721601625,0.036703121,0.583581196,1.134798408,1.478095269,0.949816895,0.756849861,0.916336703,0.899560285,1.32307682,1.555384326,1.718388295,1.846520138,1.396703339,0.752600753,0.329489238,0.404396724,0.488611678,3.299798744,3.346464844,3.378739677
US-Ced,39.8379,-74.3791,58,CSH,Cfa,1138,-81.89364433,-716.8616897,634.9680453,12.02906544,9.123204938,0.711612046,9.751491014,0.345113921,0.696850985,2.277825488,1.573939618,28,-0.003817375,0.836526817,0.004844867,0.761512459,2.360219765,2.191355228,2.085421276,1.394798517,1.379780245,1.351941371,1.796263504,1.834725809,1.915458059,1.408571124,2.208937693,2.131062222,0.71792931,1.319705723,1.168447765,4.98369546,5.324283653,5.300588087
