"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Apparent only",21,0.0223618864509452,0.00381019033736575,0.017977292277234,0.00841393151786304,0.0043845941737112,0.00734585694576257,0.0199,0,0.0199,0.0199,0
"Apparent only",22,0.0146139899853413,0.00500326736672308,-0.00639330155631453,0.00973151588207904,0.0210072915416558,0.00797907317564918,0.0199,0,0.0199,0.0199,0
"Apparent only",23,0.0136936977663413,0.00404855482171847,-0.00170552852118362,0.0111828636077092,0.0153992262875249,0.00934831986260955,0.0199,0,0.0199,0.0199,0
"Apparent only",24,0.012667376962486,0.00554187854157369,-0.0189251334921481,0.00927451478607295,0.031592510454634,0.00798368372140996,0.0199,0,0.0199,0.0199,0
"Apparent only",25,0.0155727301644089,0.00428152972535934,0.0100492084643805,0.00886122952898022,0.00552352170002843,0.00819111819495344,0.0199,0,0.0199,0.0199,0
"Apparent only",26,0.0278178869515035,0.00626203042498962,0.00986629249673446,0.0101921153206584,0.017951594454769,0.0105606178008379,0.0199,0,0.0199,0.0199,0
"Apparent only",27,0.0219251405967214,0.00480217586304707,0.007145508870635,0.0101553989711633,0.0147796317260864,0.00949604708265355,0.0199,0,0.0199,0.0199,0
"Apparent only",28,0.0248233790160756,0.00490377396596313,-0.00301543541816649,0.0103828602260286,0.0278388144342421,0.00723037682580768,0.0199,0,0.0199,0.0199,0
"Apparent only",29,0.0236991254635523,0.00431333935618844,0.00552987652955744,0.00797212815232504,0.0181692489339949,0.00782824880114059,0.0199,0,0.0199,0.0199,0
"Apparent only",30,0.0259037356056519,0.00516418251451825,0.0108726444809949,0.00684315836458282,0.015031091124657,0.00499862909076818,0.0199,0,0.0199,0.0199,0
"Apparent only",31,0.0303389755183677,0.00437822216539404,0.0077671508085332,0.00803896107586658,0.0225718247098344,0.00747377575813944,0.0199,0,0.0199,0.0199,0
"Apparent only",32,0.0166082827320773,0.00615079736666054,-0.0168551820756555,0.00830095967589812,0.0334634648077328,0.00791508998600748,0.0199,0,0.0199,0.0199,0
"Apparent only",33,0.0153476471274913,0.00438247976275681,-0.0295051957152053,0.0107445695303939,0.0448528428426966,0.0101490589441684,0.0199,0,0.0199,0.0199,0
"Apparent only",34,0.014978056005496,0.00432946797852525,-0.0245251309231234,0.0109951750480704,0.0395031869286194,0.00956085769219802,0.0199,0,0.0199,0.0199,0
"Apparent only",35,0.0235713644884711,0.00473826316159343,-0.00624157464498407,0.00888055714886445,0.0298129391334552,0.00742117162149624,0.0199,0,0.0199,0.0199,0
"Apparent only",36,0.0206693467333947,0.00375185403909536,-0.0134978331656693,0.00877795857255808,0.034167179899064,0.00760123412791541,0.0199,0,0.0199,0.0199,0
"Apparent only",37,0.0183042696507282,0.00576497450857311,-0.0022768149884965,0.00941689799420742,0.0205810846392247,0.00894798609119616,0.0199,0,0.0199,0.0199,0
