0,site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
99,FR-Bil,44.493652,-0.956092,39,ENF,Cfb,960.1,-406.9057262,-1040.600523,633.6947969,14.10028563,5.788691702,0.533666979,9.756707911,0.311191159,0.574524938,1.23471419,1.476046817,62,-0.056523147,6.52E-05,-0.005380545,0.653185306,1.038827801,1.533186865,0.761684799,0.050915718,0.630329514,0.451794624,1.487765121,1.889743614,1.622417641,0.947912025,0.682564068,1.532234526,0.706203762,0.743242756,0.743628703,3.996210565,4.182030332,4.009893246
86,FR-FBn,43.24079,5.67865,433,MF,Csa,700,-561.031217,-1048.759881,487.7286638,14.17918059,6.518112649,0.719903847,6.832651808,0.312322154,0.653080885,1.851690379,1.666571775,62,0.064939954,0.000140405,0.082997887,3.28E-09,1.25267396,1.614212465,0.935311413,0.115897369,0.960952568,0.809011078,1.78183136,2.202783966,1.918168831,1.0886446,0.714139175,1.516703224,0.690010942,0.857357571,0.894913505,2.217761431,2.348911422,2.489464527
87,FR-Fon,48.476358,2.780096,104,DBF,Cfb,720,-591.8595692,-1088.31904,496.4594705,11.78157291,6.489655199,0.782169161,7.500926756,0.407642864,0.668099172,2.54211371,1.720085086,45,0.004434613,0.733276168,0.053028611,4.18E-05,1.003589797,0.930109835,0.994871807,-0.028351593,0.700952339,0.651648521,1.820732498,2.008718109,1.755457878,0.731282043,0.344102478,1.340659285,0.636696119,0.650160809,0.863764102,5.489358746,5.667501574,5.689252339
69,FR-Pue,43.7413,3.5957,270,EBF,Csa,883,-265.3477035,-732.8361426,467.4884391,14.14700288,6.646252906,0.608136711,8.555168644,0.353271042,0.675778764,2.071754447,1.469869503,62,0.016065247,0.383390732,0.015097144,0.239611239,1.381391811,1.744468737,0.865567684,0.047032738,0.86461525,0.753919411,1.856703186,2.391501617,1.907839203,1.05230751,0.80388298,1.646959639,0.873041932,1.114306326,0.900749809,2.463250833,2.570448703,2.607915503
88,GF-Guy,5.2788,-52.9249,48,EBF,Am,3041,-219.262193,-1774.38231,1555.120117,25.90239118,0.834548469,0.383940333,4.939175364,0.4743174,0.811933862,4.132823189,3.369946767,23.96599197,-0.020437122,0.585729027,0.166101912,0.000150506,1.059780121,1.250842285,1.117069244,1.367032242,1.164175797,1.244908905,1.105054855,1.287692261,1.310109711,1.290475845,1.280073547,1.183663177,0.311303822,0.380332279,0.379910581,8.607001292,8.588118462,8.521696109
89,IL-Yat,31.345045,35.051989,652,ENF,Csa,285,-128.6588153,-357.1603216,228.5015064,18.37615502,6.377912335,0.624908652,10.3076309,0.199036791,0.345148009,0.591916179,0.596915955,20.85048294,-0.023361662,0.065953699,0.0006645,0.949109932,1.094066048,0.743369961,0.310109901,1.432381248,1.161611938,1.329743576,1.253479767,1.387619019,1.349230194,1.56717968,1.513406372,1.033626556,1.035566878,1.223334507,0.965121197,2.079714403,2.21180124,2.162490116
70,IT-MBo,46.0147,11.0458,1550,GRA,Dfb,1214,-18.35024962,-604.923343,586.5730934,5.534325946,6.858998873,0.607323328,7.021436588,0.295786994,0.428941811,1.19291086,1.062056088,78.88999939,-0.027209574,0.047717713,-0.025425383,0.230322032,2.705640984,2.264249134,1.509303975,0.197948742,0.936923218,0.755750847,2.082344818,2.17692318,2.397509384,1.578315163,0.538901126,2.230183125,0.939152646,1.516261453,0.964754146,6.27495355,6.827229353,6.650342677
71,IT-Noe,40.6062,8.1517,25,CSH,Csa,588,-144.5370835,-606.3531926,461.8161091,16.58813026,5.492418466,0.821192524,10.46238128,0.277665955,0.625079713,1.202199945,1.781909619,77.93000031,0.054981589,0.002384243,0.056355514,0.003058118,1.285836538,1.449938933,0.873626709,0.311111132,0.786691348,0.944688797,1.458730698,1.97167333,1.901464462,1.081685066,0.683150291,1.295115789,0.69470054,0.813014589,0.666360665,2.568448873,2.673682782,2.773456592
72,IT-Ren,46.5869,11.4337,1730,ENF,Dfc,809.3,-680.608856,-994.5684411,313.9595851,4.721927376,7.057612986,0.67597391,7.231511816,0.255662627,0.544748507,1.531326709,1.076196603,102.0999985,0.008815194,0.5718139,-0.005636738,0.678470105,2.801172113,2.520366383,1.852380848,0.27663002,1.029890203,0.844908428,2.048205376,2.001025581,2.411062288,1.695824146,0.815750921,2.487326145,0,0,0,0,0,0
91,IT-SR2,43.732022,10.29091,13,ENF,Csa,920,-222.0094793,-1243.523578,1021.514099,15.80013189,6.137176723,0.396637986,7.80952793,0.363638427,0.779128469,2.535840614,1.819763477,76.83000183,0.006524039,0.645720902,0.00589061,0.7393264,1.563736379,1.58782059,1.085988998,0.317124605,1.028022051,1.017215729,1.913827419,2.26913929,2.21108079,1.409890652,0.500640869,1.427747428,0,0,0,0,0,0
73,IT-SRo,43.7279,10.2844,6,ENF,Csa,920,-383.4559854,-1080.222937,696.7669516,15.30033358,6.470837745,0.42321107,8.698711299,0.310257224,0.684966945,1.937945016,1.646346497,76.83000183,-0.03530853,0.001070875,-0.027381544,0.019318121,1.563736379,1.58782059,1.085988998,0.317124605,1.028022051,1.017215729,1.913827419,2.26913929,2.21108079,1.409890652,0.500640869,1.427747428,0,0,0,0,0,0
77,IT-Tor,45.8444,7.5781,2160,GRA,Dfc,920,-53.3990208,-378.8807397,325.4817189,3.56659102,6.66248492,0.784092952,7.578815292,0.208387361,0.342706532,0.901416538,0.668415359,85.83999634,-0.060704246,0.022516361,-0.028715165,0.295010506,2.460219622,2.51890111,1.68417592,0.138388276,0.835164857,0.773406541,1.867326069,2.231355572,1.920952463,1.265274715,0.846959817,2.172674131,0,0,0,0,0,0
74,NL-Loo,52.1666,5.7436,25,ENF,Cfb,786,-477.5499893,-954.8483328,477.2983435,10.34300169,6.442518982,0.71987773,7.05813553,0.330614882,0.723400637,1.931156061,1.3148559,57.43982315,-0.025331325,0.034442837,0.034592701,0.006609785,0.875531137,0.612600732,1.195018339,0.201025677,0.84190464,0.770915222,1.496996117,1.308424568,1.492747307,1.146007633,0.749596977,1.378827858,0,0,0,0,0,0
