"site_ID","Tmin1","Tmin2","Tmin3","Tmin4","Tmin5","Tmin6","Tmin7","Tmin8","Tmin9","Tmin10","Tmin11","Tmin12"
"CA-Ca1",1.17150182723999,2.29443221092224,1.9684981584549,2.12271060943604,2.01201469898224,2.06549444198608,1.96761913299561,2.2878387928009,1.87648344039917,1.94271068572998,2.17941389083862,1.86959707736969
"CA-Gro",3.34014692306519,3.86549482345581,3.2101095199585,2.68366293907166,2.20805850028992,2.03633687496185,2.28864479064941,2.52087941169739,2.05978026390076,2.65223436355591,2.64263715744019,4.01355352401733
"CA-Obs",1.02036644220352,4.34923105239868,3.527618932724,3.2422709941864,3.24241757392883,2.67443246841431,2.58417549133301,3.17128195762634,2.50351643562317,3.14161176681519,3.15970706939697,3.04864482879639
"CA-Ojp",1.1025646686554,4.27772951126099,3.51399240493774,3.16058611869812,3.26937727928162,2.67875456809998,2.6547981262207,3.05882782936096,2.42051281929016,3.14527468681335,3.14102516174316,3.06849789619446
"US-Jo2",0.740219795703888,0.940366315841675,0.311941361427307,0.578754639625549,1.26857149600983,0.980659091472626,1.26300392150879,1.27838816642761,1.56769232749939,1.74087905883789,1.06109890937805,1.03025640249252
"US-MtB",0.608131873607636,0.969523811340332,0.217728924751282,0.408424890041351,1.10095236301422,0.848205149173737,1.22058582305908,1.54432260990143,1.61245429515839,1.96564085483551,0.885567808151245,0.8799267411232
"US-LL1",1.58021984100342,1.17985339164734,1.39641017913818,1.00073277950287,1.50659255981445,1.25252757072449,1.70417633056641,1.44263699054718,1.77369935512543,1.51787545681,2.46249113082886,1.5014652967453
"US-BZB",3.01655678749084,1.04366323947907,3.51736259460449,1.93758254051209,1.59919419288635,1.71289403438568,2.11091556549072,2.25765571594238,1.98871796131134,0.945933997631073,3.16849880218506,2.34256401062012
"US-BZF",3.01655678749084,1.04366323947907,3.51736259460449,1.93758254051209,1.59919419288635,1.71289403438568,2.11091556549072,2.25765571594238,1.98871796131134,0.945933997631073,3.16849880218506,2.34256401062012
"US-KL2",3.05135521888733,3.16776547431946,2.56315016746521,1.63201460838318,1.36351647377014,1.59487178325653,2.22725296020508,2.42190461158752,2.0172890663147,2.04329686164856,2.09091563224792,2.5279851436615
"US-Ro4",2.26446857452393,4.33076934814453,3.00249099731445,1.81670322418213,1.90564069747925,1.68087937831879,2.17465209960938,2.77670307159424,2.06358957290649,2.24461536407471,1.46285717487335,2.25157518386841
"US-KM4",3.01304039955139,3.14021954536438,2.53897438049316,1.57692310810089,1.34161150455475,1.59912083148956,2.24234428405762,2.45223445892334,2.05604386329651,2.03553097248077,2.00322337150574,2.44300351142883
"US-MBP",2.34065909385681,4.79948740005493,3.33296723365784,2.46249084472656,2.8950915813446,2.48476214408875,2.84527492523193,3.31399250030518,2.0611722946167,2.87186813354492,1.83904757499695,2.7971426486969
"US-Myb",1.15003662109375,1.52073259353638,0.943882894515991,0.819633734226227,0.947692251205444,0.90095226764679,1.28923091888428,1.55545756816864,1.76908431053162,1.86380965709686,1.38974370956421,0.826080644130707
"US-NC4",1.60805854797363,1.39465205669403,1.59098908901215,1.04959726333618,0.798461449146271,0.77597006559372,1.53794784545898,1.2219048500061,1.57662963867188,1.20051262378693,2.23304042816162,1.66630034446716
"US-Tw1",1.13479840755463,1.47809526920319,0.94981689453125,0.75684986114502,0.916336703300476,0.899560284614563,1.32307682037354,1.55538432598114,1.71838829517365,1.84652013778687,1.39670333862305,0.752600753307343
"US-Ced",2.36021976470947,2.19135522842407,2.08542127609253,1.39479851722717,1.37978024482727,1.35194137096405,1.79626350402832,1.83472580909729,1.91545805931091,1.40857112407684,2.20893769264221,2.1310622215271
"US-Oho",3.03604393005371,3.0571427822113,2.56402926445007,1.42117218971252,1.33186795711517,1.68212485313416,2.33772964477539,2.51655678749084,2.15985336303711,2.05685005187988,2.36109890937805,2.63882784843445
"US-Slt",2.46424903869629,2.28615388870239,2.07142858505249,1.45186810493469,1.42659356594086,1.3965567111969,1.80915718078613,1.93230769634247,1.85575098991394,1.35465214252472,2.19912104606628,2.1964102268219
"US-Wrc",1.23355312347412,2.01311357021332,1.66739926338196,1.32959706783295,1.0538462638855,1.44791216850281,1.83472537994385,2.16798543930054,1.92109897136688,1.5054212808609,2.14205121994019,1.78681318759918
"AU-Tum",1.05567762851715,1.47377297878265,1.54073255062103,1.31267392635345,2.08168497085571,0.987472522258759,0.776703310012817,1.25076923370361,1.22300362586975,1.42168500423431,0.83238115310669,1.34439563751221
"BE-Bra",0.757289385795593,0.56300362944603,1.10271065235138,0.145641104876995,0.80996310710907,0.667472589015961,1.56857147216797,1.4922342300415,1.56805872917175,1.07391955852509,0.594871807098389,1.31164832115173
