site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,warm_rate,warm_ratep,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,-129.5741244,-466.2499925,336.6758681,1.918898563,12.81362665,0.937533834,8.176846631,-0.084110226,0.186070966,0.254007803,0.445859197,1.745652071,0.910214577,85.7424686,-0.013845264,0.379780391,-0.006701463,0.622721011,1.016630089,4.263516903,3.801391983,3.034065914,3.205421162,2.751648426,2.679487038,3.227692461,2.593113422,3.183956099,2.936776543,3.030622435,0.552265405,1.64410895,1.595862583,5.57037374,6.332475268,6.194092768
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-192.6207748,-735.6810425,543.0602678,9.342187458,10.17544123,0.784144302,7.468774826,0.061184432,0.034502037,0.36699535,0.658590351,2.403910765,1.457332049,87.33921272,0.015735102,0.077755699,0.040992172,1.55E-05,3.506959534,3.276996374,2.664468908,2.054578733,1.687179565,1.7924541,2.211648178,2.442710543,2.147838926,1.900512838,2.255604362,2.90146513,0.818967412,1.968416648,1.68647219,5.050820447,5.882634387,6.040830476
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-547.8418281,-996.0984535,448.2566254,9.19332656,10.12005276,0.78360179,7.754000587,0.057376713,0.185742283,0.340775012,0.619047329,2.205274761,1.475515873,87.1240342,0.008687055,0.294981574,0.029422587,0.000515553,3.548205137,3.250696039,2.709523869,2.010842443,1.689450526,1.750842524,2.242344284,2.462197542,2.137362432,1.861391997,2.280293083,2.880366373,0.828511578,1.990051411,1.685287629,4.333565673,5.177313074,5.253667459
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,-2.647120468,-226.3279297,223.6808093,-1.18050736,14.66715171,1.294389055,9.768866138,0.149272495,0.070615603,0.189257877,0.453116642,1.008835988,0.723940764,177.3009249,0.042804153,0.004818486,0.035106355,0.009478282,2.049964046,4.766081333,3.174578285,3.754505301,3.350109911,3.204395723,2.815384865,2.918901205,2.304029369,2.954651976,4.253333092,3.807325602,0.710079247,2.328661143,2.257451703,2.250437086,2.781169788,3.063321958
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-181.7210075,-316.6456211,134.9246136,3.168149451,10.02317773,0.738260629,9.020263575,0.030584343,0.459419491,0.198464359,0.433229477,0.881869438,0.752706148,70.65000153,-0.045368641,0.002676387,0.013571657,0.469532767,0.919706845,2.509670305,3.246007395,2.445640945,2.584029245,2.281684828,2.231941795,2.700000143,2.593333292,2.583882761,3.016556835,2.862710714,0.810634077,2.024907526,2.136862293,2.573685675,3.093931225,2.808065986
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1082.562072,708.8040539,8.065500196,6.161815897,0.45007738,5.357712276,-0.045340288,0.244213896,0.367616227,0.761267813,2.140919438,1.369223569,114.8103363,0.022729621,0.042014916,0.034369524,0.00497769,1.171501827,2.294432211,1.968498158,2.122710609,2.012014699,2.065494442,1.967619133,2.287838793,1.87648344,1.942710686,2.179413891,1.869597077,0.615413029,1.218431381,1.270006008,5.617854299,6.471014301,6.660533732
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-116.8703016,-454.9342405,338.0639389,3.421697192,12.4036971,1.108596485,9.152382968,0.176792348,0.157503103,0.291918607,0.565476151,1.717918042,1.019259642,77.94115998,0.008618474,0.457683159,0.037398253,0.000717343,3.340146923,3.865494823,3.21010952,2.683662939,2.2080585,2.036336875,2.288644791,2.520879412,2.059780264,2.652234364,2.642637157,4.013553524,0.712885321,1.991417764,1.62047235,4.564304528,5.172318458,5.245061836
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,-55.93100155,-315.9867889,260.0557873,1.208714947,12.99762114,1.098797828,8.735291964,-0.101777052,0.334083919,0.210746177,0.489060244,1.030377748,0.802898119,115.2532966,-0.031577982,0.012372754,-0.035934713,0.000505961,1.020366442,4.349231052,3.527618933,3.242270994,3.242417574,2.674432468,2.584175491,3.171281958,2.503516436,3.141611767,3.159707069,3.048644829,0.399210584,1.186496271,1.151226304,4.520413267,5.015374056,4.836322426
CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,-38.11573117,-233.9461957,195.8304645,1.422205855,13.13987085,0.967887007,9.271413647,-0.095054718,0.328330403,0.220409053,0.49316232,1.126613511,0.771493625,67.24505414,-0.016802897,0.100125426,0.012376831,0.354033819,1.102564669,4.277729511,3.513992405,3.160586119,3.269377279,2.678754568,2.654798126,3.058827829,2.420512819,3.145274687,3.141025162,3.068497896,0.630480209,1.864747203,1.793957884,2.809640446,3.404426295,3.303335603
US-Jo2,32.5849,-106.6032,1469,OSH,Bwk,282.3,-175.5459749,-245.8710468,70.32507187,17.62175015,8.214978581,0.441738431,12.31112416,0.025211753,0.633086361,0.112837485,0.171254279,0.21498891,0.215734894,9,-0.050444034,0.024242951,0.011037826,0.489042322,0.740219796,0.940366316,0.311941361,0.57875464,1.268571496,0.980659091,1.263003922,1.278388166,1.567692327,1.740879059,1.061098909,1.030256402,1.408307292,1.497715029,1.605574372,0.52359439,0.535920644,0.494226765
