site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-Jo2,32.5849,-106.6032,1469,OSH,Bwk,282.3,-174.9616979,-245.9539192,70.99222131,17.64086811,8.187068443,0.457703509,12.32449965,0.112643534,0.170639891,0.214181153,0.211922598,9,10,-0.006434519,0.917774248,YES,0.740219796,0.940366316,0.311941361,0.57875464,1.268571496,0.980659091,1.263003874,1.278388166,1.567692327,1.740879059,1.061098886,1.030256402,1.414750434,1.504567211,1.114322887,0.33904693,0.360236493,0.357662788
US-MtB,32.416,-110.7256,2573,ENF,Csb,790,-495.3536272,-738.7744569,243.4208297,9.890111772,6.731203351,0.420454566,5.563098661,0.286684153,0.53827377,1.443510073,0.699776772,5,9,-0.344881733,0.080010611,NO,0.608131874,0.969523811,0.217728925,0.40842489,1.100952363,0.848205149,1.220586157,1.54432261,1.612454295,1.965640855,0.88556776,0.879926741,1.02059593,1.042833476,1.063964507,1.585275797,1.651260466,1.14407562
US-LL1,31.2792,-84.5329,165,SAV,Cfa,1310,-203.9650578,-874.3477007,670.3826429,19.41596748,6.815460414,0.63693578,10.01652579,0.371546266,0.697580328,1.874862913,1.550562043,20,12,-0.039362096,0.07610438,YES,1.580219841,1.179853392,1.396410179,1.00073278,1.50659256,1.252527571,1.704176402,1.442636991,1.773699355,1.517875457,2.462490988,1.501465297,0.938394833,1.432512951,1.20789407,4.204611524,4.514314765,4.30470308
US-BZB,64.6955,-148.3208,100,WET,Dfd,274,14.09593446,-150.513523,164.6094574,-1.552445775,15.06864268,1.542979811,12.98144579,0.210736947,0.438115487,0.612551445,0.584887241,78,9,-0.051100561,0.339120947,NO,3.016556787,1.043663239,3.517362595,1.937582541,1.599194193,1.712894034,2.110915804,2.257655716,1.988717961,0.945933998,3.168498516,2.342564011,0.493900431,1.055363946,0.990802157,2.301821425,2.423634326,2.303979062
US-BZF,64.7013,-148.3121,95,WET,Dfd,274,11.25606263,-190.7741644,202.030227,-1.128288118,14.96944303,1.588988487,12.02349113,0.224255579,0.452690773,0.891778017,0.675360604,91,8,-0.038577649,0.580836834,NO,3.016556787,1.043663239,3.517362595,1.937582541,1.599194193,1.712894034,2.110915804,2.257655716,1.988717961,0.945933998,3.168498516,2.342564011,0.487401686,1.041477461,1.022005907,2.693716047,2.934461265,2.821016542
US-KL2,42.4768,-85.4468,258.3,GRA,Dfa,1027,-263.1196683,-650.348139,387.2284707,9.320215088,10.52969109,0.880711625,10.20397413,0.273933523,0.477414962,1.086014637,1.116277267,29,13,-0.046879361,0.044190964,YES,3.051355219,3.167765474,2.563150167,1.632014608,1.363516474,1.594871783,2.227252817,2.421904612,2.017289066,2.043296862,2.090915728,2.527985144,0.921068194,2.049477892,1.88034858,5.284194881,5.853621662,5.359716154
US-Ro4,44.6781,-93.0723,274,GRA,Dfa,879,-281.7066242,-556.4454711,274.7388469,7.471009355,12.1251548,1.056804783,11.44813229,0.284919057,0.449071513,1.084826337,0.986806608,87,10,-0.050009222,0.393546492,NO,2.264468575,4.330769348,3.002490997,1.816703224,1.905640697,1.680879378,2.174651766,2.776703072,2.063589573,2.244615364,1.462857175,2.251575184,0.715885159,1.668903958,1.639074984,4.935964213,5.939440635,5.472010477
US-KM4,42.4423,-85.3301,246.3,GRA,Dfa,1027,-6.013849094,-527.2991009,521.2852518,9.198884433,10.44266836,0.969532712,10.70435516,0.303425461,0.483937085,1.207404036,1.129306441,370,12,-0.048108184,0.292149941,YES,3.0130404,3.140219545,2.53897438,1.576923108,1.341611505,1.599120831,2.242344427,2.452234459,2.056043863,2.035530972,2.003223467,2.443003511,0.685344518,1.510172092,1.182806338,5.608909713,6.148746039,5.808634399
US-MBP,47.5051,-93.4893,416,WET,Dfb,780,-221.4190361,-284.4550232,63.03598711,4.106576485,12.6311142,1.243680234,11.44332292,0.286788686,0.499722445,1.732175536,1.120459415,29,12,-0.043566591,0.562340869,NO,2.340659094,4.7994874,3.332967234,2.462490845,2.895091581,2.484762144,2.845274878,3.3139925,2.061172295,2.871868134,1.839047647,2.797142649,0.488467396,1.385780226,1.319638607,1.320163877,1.475345201,1.392916627
US-Myb,38.0499,-121.765,-4,WET,Csa,338,-412.3568795,-813.0054664,400.648587,15.6288017,5.37172437,0.460911935,10.47096704,0.346545173,0.571359199,1.531901298,1.609581318,29,10,0.040045279,0.78921228,NO,1.150036621,1.520732594,0.943882895,0.819633734,0.947692251,0.900952268,1.289230824,1.555457568,1.769084311,1.863809657,1.389743567,0.826080644,0.525469319,0.655800464,0.740852826,3.464158469,3.520385464,3.62639176
