site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MAT,SST,IAT,DRT,EVI,NDVI,LAI,GPP,SOC,nyear,TRS,TRS_p,SWC_use
CZ-wet,49.0247,14.7704,426,WET,Dfb,604,45.16225865,-393.6715058,438.8337645,8.773438956,8.051445027,0.511500952,7.601922598,0.378948881,0.583876679,1.414455643,1.109243858,76.55177307,11,-0.034223262,0.575614761,NO
DE-Gri,50.95,13.5126,385,GRA,Cfb,901,-82.98169582,-622.791514,539.8098182,8.645978946,7.635822666,0.745509483,7.18827651,0.344752095,0.654280327,2.112168381,1.205532528,89,15,0.042472581,0.577702942,NO
DE-Hai,51.0792,10.4522,430,DBF,Cfb,720,-523.220309,-958.2498575,435.0295485,8.539259071,7.083103044,0.667382709,7.113624734,0.377752844,0.660711008,2.362488601,1.154354218,79,18,-0.117689039,0.002687022,YES
DE-Tha,50.9626,13.5651,385,ENF,Cfb,843,-469.5504666,-873.981823,404.4313564,9.238064722,7.528276437,0.780417682,7.006525043,0.325320401,0.712576138,2.275937819,1.13339836,79,24,-0.03506286,0.008283451,YES
DK-Sor,55.4859,11.6446,40,DBF,Cfb,660,-214.9413359,-901.3978457,686.4565098,8.724131361,6.228371899,0.747318183,5.463460104,0.391590842,0.618299999,2.182250724,1.372439507,91.67423248,21,-0.041091422,0.010769929,YES
FI-Hyy,61.8474,24.2948,181,ENF,Dfc,709,-231.3673457,-531.3267941,299.9594485,4.556371253,9.107593573,0.699740744,6.34521312,0.249323985,0.509124758,1.581809895,0.998414665,44.4856987,24,0.001224219,0.922363741,YES
FI-Sod,67.3624,26.6386,180,ENF,Dfc,500,94.62147054,-100.025275,194.6467455,0.809693063,10.67584675,0.692900398,6.275989871,0.182884262,0.419415254,0.569659095,0.412223604,133.773407,10,0.015475367,0.264104718,YES
FR-Pue,43.7413,3.5957,270,EBF,Csa,883,-347.7997115,-722.2144624,374.4147509,14.1251148,6.62018549,0.624695979,8.09473956,0.353426047,0.673119672,2.054986306,1.455031302,62,13,0.036390138,0.542969162,YES
IT-Lav,45.9562,11.2813,1353,ENF,Dfb,1291,-1965.123074,-2039.389731,74.26665676,7.300331977,6.419510557,0.520229842,6.40150528,0.328251913,0.730599088,2.361024736,1.310848685,87.52999878,14,-0.245149646,0.000428735,YES
IT-MBo,46.0147,11.0458,1550,GRA,Dfb,1214,-31.0220478,-599.647158,568.6251102,5.433585321,6.912407568,0.596982558,7.06930626,0.328628169,0.470285714,1.152973481,1.03443889,78.88999939,15,-0.007051379,0.814911336,YES
IT-Noe,40.6062,8.1517,25,CSH,Csa,588,-192.514179,-613.8743705,421.3601915,16.40172341,5.591569956,0.294897086,5.557876454,0.270374433,0.598900825,1.200000013,1.777521427,77.93000031,8,0.001878085,0.979441028,NO
IT-Ren,46.5869,11.4337,1730,ENF,Dfc,809.3,-667.7461006,-975.5803578,307.8342572,4.864174405,6.426559296,0.527077846,7.727546782,0.255343169,0.538880874,1.514455648,1.045365711,102.0999985,18,-0.123603207,0.1300879,NO
IT-SRo,43.7279,10.2844,6,ENF,Csa,920,-383.7959534,-1091.438382,707.6424288,15.22225475,6.333658284,0.304792933,6.857488639,0.305731352,0.668520697,1.932113476,1.646214594,76.83000183,10,-0.07050565,0.657595164,NO
NL-Loo,52.1666,5.7436,25,ENF,Cfb,786,-473.0386957,-921.2763121,448.2376163,10.14284234,6.322663229,0.570326097,6.429886564,0.328382332,0.706885792,1.978865537,1.257766527,57.43982315,14,-0.064752241,0.024612583,YES
RU-Fyo,56.4615,32.9221,265,ENF,Dfb,711,93.58150935,-468.3428511,561.9243605,5.410705775,9.678299937,0.541014704,7.298062248,0.277071111,0.573706666,1.702197823,1.002290032,56.61304092,19,-0.00111023,0.977206251,YES
ZA-Kru,-25.0197,31.4969,359,SAV,Bsh,547,-44.58128253,-483.6706167,439.0893342,21.86088545,3.57475076,0.235585702,9.770026827,0.272310565,0.458581603,1.007516049,1.220618941,46.12785339,10,-0.220019495,0.00921146,YES
IT-Tor,45.8444,7.5781,2160,GRA,Dfc,920,-75.53374206,-420.5142459,344.9805038,3.310864305,6.315578372,0.537762669,6.507725501,0.309815978,0.501211019,0.863677961,0.658618475,85.83999634,12,-0.147212802,0.083424669,YES
BE-Dor,50.311876,4.968113,250,GRA,Cfb,581.795,-73.93497488,-952.1268688,878.191894,10.05555058,6.31819766,0.645511253,7.146400697,0.437024081,0.625409191,1.532662419,1.121253437,83.44987488,11,0.037734018,0.298628503,YES
CH-Fru,47.115833,8.537778,982,GRA,Dfb,1651,-205.8362246,-913.1101635,707.273939,7.887832053,6.916652478,0.569815724,7.242974937,0.421713019,0.612599811,1.805032045,1.261186234,82.63198853,13,-0.032815979,0.551776747,YES
CZ-RAJ,49.443724,16.696513,648,ENF,Dfb,681,-538.0235289,-972.3663713,434.3428424,8.15253628,8.092157229,0.598391025,7.492602327,0.268176685,0.606306193,1.704940557,1.088211305,124.493309,8,-0.248617275,0.473781112,NO
CZ-Stn,49.035975,17.9699,564,DBF,Dfb,685,-247.1211623,-808.8814177,561.7602554,9.060822301,8.402555238,0.685778564,6.037611498,0.361866788,0.645472079,2.487648711,1.184802245,84.73412323,11,-0.096107822,0.029943618,YES
DE-Obe,50.78666,13.72129,743,ENF,Dfb,996,-259.4892565,-879.9364412,620.4471847,6.751198998,7.265623963,0.808769022,6.951430723,0.273952468,0.674467824,2.0255261,1.094211583,89,10,0.061689152,0.301440513,YES
DE-RuR,50.6219,6.3041,514.7,GRA,Cfb,1033,-118.0197554,-806.5497241,688.5299688,8.428473484,6.398218057,0.636003571,6.467437449,0.46418511,0.666992278,2.155718239,1.244777955,70,10,0.019133458,0.255602883,YES
CH-Aws,46.583194,9.790417,1942,GRA,Dfc,918,-373.6362865,-870.0464829,496.4101964,3.75588457,6.826939183,0.387274951,7.549877439,0.219919175,0.462501456,0.905306507,0.778520269,98.25754547,8,-0.075509249,0.35327682,YES
ES-LJu,36.926594,-2.752115,1613,OSH,Csb,400,-3.287897603,-70.39745319,67.10955559,11.86229047,6.354642788,0.459238306,6.9825901,0.156800547,0.364750365,0.375114364,0.553631658,37.08029556,12,-0.036571131,0.734732796,YES
FR-FBn,43.24079,5.67865,433,MF,Csa,700,-558.6841398,-1020.341932,461.657792,14.01897824,6.217717835,0.62768066,6.853163514,0.312534426,0.65173388,1.834675236,1.6588242,62,11,0.093504717,0.220260031,NO
FR-Fon,48.476358,2.780096,104,DBF,Cfb,720,-603.6863279,-1098.412695,494.7263671,11.73160231,6.337848907,0.743590554,7.775586756,0.407020255,0.657636131,2.475663358,1.686357806,45,16,-0.095131925,0.115847,NO
GF-Guy,5.2788,-52.9249,48,EBF,Am,3041,-242.0914696,-1811.298048,1569.206579,25.66107468,0.771770947,0.197749849,4.099093513,0.406132482,0.652618429,3.473833533,3.28673569,23.96599197,13,-0.163512014,0.001385122,YES
IL-Yat,31.345045,35.051989,652,ENF,Csa,285,-135.9926526,-365.3372314,229.3445787,18.43318997,5.86446692,0.372876544,9.824962402,0.199712568,0.345882878,0.591109075,0.593305676,20.85048294,15,-0.034560881,0.670937149,NO
SE-Deg,64.182,19.5565,270,GRA,Dfc,523,-53.96449781,-117.1829184,63.21842064,2.574950296,9.239131039,0.779989531,7.734297508,0.234077802,0.448740659,0.864820523,0.751320513,81.22222137,20,0.065345712,0.169112517,YES
IT-SR2,43.732022,10.29091,13,ENF,Csa,920,-225.850467,-1225.285127,999.4346603,15.70978459,6.185564403,0.37104273,4.935218686,0.363377049,0.775849726,2.545288236,1.812138068,76.83000183,8,-0.057930691,0.560926054,YES
CH-Dav,46.8153,9.8559,1639,ENF,Dfc,1062,-83.56311443,-565.4874225,481.9243081,4.736062045,6.663715634,0.498014174,7.223789887,0.203118785,0.428652486,0.978957008,0.806983242,94.02565002,15,-0.157654208,0.008669773,NO
